time,symbol,type,entry,exit,qty,pnl,note
2025-08-17 20:00:00+00:00,BTCUSDT,ENTRY_SHORT,117369.788497,,0.15648016121506683,0.0,bear trend short|scale=2.39|regScale=1.00|stopPct=0.0075
2025-08-18 12:00:00+00:00,BTCUSDT,EXIT,117369.788497,116180.18360199999,0.15648016121506683,186.14956575183442,CLOSE_BY_SIGNAL
2025-08-19 16:00:00+00:00,BTCUSDT,ENTRY_SHORT,113098.540256,,0.06273148152398732,0.0,bear trend short|scale=1.20|regScale=1.00|stopPct=0.0150
2025-08-20 04:00:00+00:00,ETHUSDT,ENTRY_SHORT,4183.964434,,0.2897257052246554,0.0,bear trend short|scale=0.50|regScale=1.00|stopPct=0.0362
2025-08-20 12:00:00+00:00,ETHUSDT,EXIT,4183.964434,4257.176769999999,0.2897257052246554,-21.211495678744047,CLOSE_BY_SIGNAL
2025-08-20 16:00:00+00:00,BTCUSDT,EXIT,113098.540256,114310.942998,0.06273148152398732,-76.05582020940491,CLOSE_BY_SIGNAL
2025-08-21 04:00:00+00:00,BTCUSDT,ENTRY_SHORT,113861.861191,,0.07130781328600842,0.0,bear trend short|scale=1.30|regScale=1.00|stopPct=0.0138
2025-08-22 04:00:00+00:00,BTCUSDT,EXIT,113861.861191,113128.758449,0.07130781328600842,52.275953445997004,CLOSE_BY_SIGNAL
2025-08-22 16:00:00+00:00,ETHUSDT,ENTRY_SHORT,4831.5501,,0.24398976295466612,0.0,chop short z=2.95|scale=0.44|regScale=1.10|stopPct=0.0406
2025-08-23 16:00:00+00:00,ETHUSDT,EXIT,4831.5501,4760.087598,0.24398976295466612,17.43611892312743,FLIP_CLOSE
2025-08-23 16:00:00+00:00,ETHUSDT,ENTRY_LONG,4760.087598,,0.18679992379495203,0.0,trend long|scale=0.51|regScale=0.70|stopPct=0.0352
2025-08-25 00:00:00+00:00,ETHUSDT,EXIT,4760.087598,4725.991777,0.18679992379495203,-6.369096764526304,CLOSE_BY_SIGNAL
2025-08-25 16:00:00+00:00,BTCUSDT,ENTRY_SHORT,110682.91516100001,,0.04909025558771688,0.0,bear trend short|scale=1.06|regScale=1.00|stopPct=0.0170
2025-08-27 04:00:00+00:00,BTCUSDT,EXIT,110682.91516100001,110758.397554,0.04909025558771688,-3.705449964741699,CLOSE_BY_SIGNAL
2025-08-29 08:00:00+00:00,ETHUSDT,ENTRY_LONG,4347.783944,,0.33808120852284834,0.0,chop long z=-1.17|scale=0.53|regScale=1.10|stopPct=0.0342
2025-08-30 08:00:00+00:00,BTCUSDT,ENTRY_SHORT,108647.405997,,0.0619784774431377,0.0,bear trend short|scale=1.18|regScale=1.00|stopPct=0.0153
2025-08-30 20:00:00+00:00,ETHUSDT,EXIT,4347.783944,4372.38789,0.33808120852284834,8.318131798110961,FLIP_CLOSE
2025-08-30 20:00:00+00:00,ETHUSDT,ENTRY_SHORT,4372.38789,,0.4964315904964015,0.0,bear trend short|scale=0.67|regScale=1.00|stopPct=0.0268
2025-08-31 00:00:00+00:00,ETHUSDT,EXIT,4372.38789,4489.466436,0.4964315904964015,-58.12148880378597,CLOSE_BY_SIGNAL
2025-09-01 00:00:00+00:00,BTCUSDT,EXIT,108647.405997,107692.308003,0.0619784774431377,59.19551947711482,CLOSE_BY_SIGNAL
2025-09-05 08:00:00+00:00,BTCUSDT,ENTRY_SHORT,112320.2938,,0.060280942209841364,0.0,chop short z=1.43|scale=1.13|regScale=1.10|stopPct=0.0159
2025-09-05 12:00:00+00:00,BTCUSDT,EXIT,112320.2938,110750.035046,0.060280942209841364,94.6566772043712,CLOSE_BY_SIGNAL
2025-09-10 12:00:00+00:00,BTCUSDT,ENTRY_LONG,113888.146197,,0.0952010056507349,0.0,vol break long|scale=1.43|regScale=0.80|stopPct=0.0140
2025-09-11 00:00:00+00:00,BTCUSDT,ENTRY_LONG,114434.330003,,0.12263986275073033,0.0,vol break long|scale=1.26|regScale=1.80|stopPct=0.0143
2025-09-12 00:00:00+00:00,ETHUSDT,ENTRY_LONG,4506.901665,,0.9429410091812868,0.0,trend long|scale=0.80|regScale=1.00|stopPct=0.0251
